digits,auto_s,fft_s,ntt_s,karatsuba_s,schoolbook_s,chosen_by_auto
2000,0.016649099999995087,0.004203299999971932,0.04801980000047479,0.016400200000134646,0.018134500000087428,karatsuba
8000,0.039879900000414636,0.03833109999959561,0.24961339999936172,0.14716850000058912,0.30816109999977925,fft
32000,0.5135951000002024,0.5166650999999547,1.4933891000000585,1.4050631999998586,5.226809599999797,fft
