size,digits,algo,trial,elapsed,muls,adds
4,8,karatsuba,0,,,
4,8,karatsuba,1,,,
4,8,strassen,0,,,
4,8,strassen,1,,,
4,16,auto,0,,,
4,16,auto,1,,,
4,16,schoolbook,0,,,
4,16,schoolbook,1,,,
4,16,karatsuba,0,,,
4,16,karatsuba,1,,,
4,16,strassen,0,,,
4,16,strassen,1,,,
8,4,auto,0,,,
8,4,auto,1,,,
8,4,schoolbook,0,,,
8,4,schoolbook,1,,,
8,4,karatsuba,0,,,
8,4,karatsuba,1,,,
8,4,strassen,0,,,
8,4,strassen,1,,,
8,8,auto,0,,,
8,8,auto,1,,,
8,8,schoolbook,0,,,
8,8,schoolbook,1,,,
4,4,auto,0,0.00091559998691082,64,64
4,4,auto,1,0.0003474999684840441,64,64
4,4,schoolbook,0,7.940002251416445e-05,64,64
4,4,schoolbook,1,7.970002479851246e-05,64,64
4,4,karatsuba,0,9.490002412348986e-05,64,64
4,4,karatsuba,1,8.639995940029621e-05,64,64
4,4,strassen,0,0.00011360005009919405,64,64
4,4,strassen,1,8.919998072087765e-05,64,64
4,8,auto,0,0.00034460006281733513,64,64
4,8,auto,1,0.0003330999752506614,64,64
4,8,schoolbook,0,7.800001185387373e-05,64,64
4,8,schoolbook,1,8.330005221068859e-05,64,64
4,8,karatsuba,0,8.839997462928295e-05,64,64
4,8,karatsuba,1,9.940005838871002e-05,64,64
4,8,strassen,0,8.60999571159482e-05,64,64
4,8,strassen,1,0.00011969998013228178,64,64
4,16,auto,0,,,
4,16,auto,1,,,
4,16,schoolbook,0,,,
4,16,schoolbook,1,,,
4,16,karatsuba,0,,,
4,16,karatsuba,1,,,
4,16,strassen,0,,,
4,16,strassen,1,,,
8,4,auto,0,0.0005859000375494361,512,512
8,4,auto,1,0.000731400097720325,512,512
8,4,schoolbook,0,0.0002747999969869852,512,512
8,4,schoolbook,1,0.0002723000943660736,512,512
8,4,karatsuba,0,0.0002734001027420163,512,512
8,4,karatsuba,1,0.0002698999596759677,512,512
8,4,strassen,0,0.0002842999529093504,512,512
8,4,strassen,1,0.0002818000502884388,512,512
8,8,auto,0,0.000510099926032126,512,512
8,8,auto,1,0.0004611000185832381,512,512
8,8,schoolbook,0,0.0002769000129774213,512,512
8,8,schoolbook,1,0.0002891999902203679,512,512
8,8,karatsuba,0,0.0002883999841287732,512,512
8,8,karatsuba,1,0.0002815999323502183,512,512
8,8,strassen,0,0.0002714999718591571,512,512
8,8,strassen,1,0.0002840000670403242,512,512
8,16,auto,0,,,
8,16,auto,1,,,
8,16,schoolbook,0,,,
8,16,schoolbook,1,,,
8,16,karatsuba,0,,,
8,16,karatsuba,1,,,
8,16,strassen,0,,,
8,16,strassen,1,,,
16,4,auto,0,0.001955999992787838,4096,4096
16,4,auto,1,0.0019160000374540687,4096,4096
16,4,schoolbook,0,0.0017257999861612916,4096,4096
16,4,schoolbook,1,0.0015961999306455255,4096,4096
16,4,karatsuba,0,0.0016720000421628356,4096,4096
16,4,karatsuba,1,0.001717299921438098,4096,4096
16,4,strassen,0,0.001671800040639937,4096,4096
16,4,strassen,1,0.0016383000183850527,4096,4096
16,8,auto,0,0.0019255999941378832,4096,4096
16,8,auto,1,0.0020381000358611345,4096,4096
16,8,schoolbook,0,0.0017875999910756946,4096,4096
16,8,schoolbook,1,0.0017233999678865075,4096,4096
16,8,karatsuba,0,0.0018217000178992748,4096,4096
16,8,karatsuba,1,0.0017076999647542834,4096,4096
16,8,strassen,0,0.0017630999209359288,4096,4096
16,8,strassen,1,0.0018893999513238668,4096,4096
16,16,auto,0,,,
16,16,auto,1,,,
16,16,schoolbook,0,,,
16,16,schoolbook,1,,,
16,16,karatsuba,0,,,
16,16,karatsuba,1,,,
16,16,strassen,0,,,
16,16,strassen,1,,,
4,4,auto,0,0.0009699000511318445,64,64
4,4,auto,1,0.00026080000679939985,64,64
4,4,schoolbook,0,9.129999671131372e-05,64,64
4,4,schoolbook,1,8.200004231184721e-05,64,64
4,4,karatsuba,0,8.679996244609356e-05,64,64
4,4,karatsuba,1,0.00014230003580451012,64,64
4,4,strassen,0,8.849997539073229e-05,64,64
4,4,strassen,1,8.87999776750803e-05,64,64
4,8,auto,0,0.00024780002422630787,64,64
4,8,auto,1,0.0003085000207647681,64,64
4,8,schoolbook,0,8.030002936720848e-05,64,64
4,8,schoolbook,1,7.880001794546843e-05,64,64
4,8,karatsuba,0,8.68999632075429e-05,64,64
4,8,karatsuba,1,8.619995787739754e-05,64,64
4,8,strassen,0,9.029998909682035e-05,64,64
4,8,strassen,1,8.640007581561804e-05,64,64
4,16,auto,0,,,
4,16,auto,1,,,
4,16,schoolbook,0,,,
4,16,schoolbook,1,,,
