size,digits,algo,mean_time_s,std_time_s,n_trials,baseline_time_s,speedup,confidence,reason
4,4,numba,0.0001103499671444,3.585033983390616e-05,2,0.0001103499671444,0.9999999999999752,True,ok
4,8,numba,0.0001198999816551,4.7234763379557655e-05,2,0.0001198999816551,0.9999999999993932,True,ok
4,16,numba,0.0001012000720947,7.07112165451131e-07,2,0.0001012000720947,0.9999999999995058,True,ok
8,4,strassen,0.0004004999645985,2.177880774153854e-05,2,0.0004004999645985,1.0,True,ok
8,8,numba,0.0001541000092401,6.887223100608626e-05,2,0.0001541000092401,0.9999999999996756,True,ok
8,16,numba,0.0001038999762385,2.375880412282041e-05,2,0.0001038999762385,0.9999999999993184,True,ok
16,4,schoolbook,0.0020708499359897,0.0002114956023237,2,0.0020708499359897,0.9999999999999756,True,ok
16,8,schoolbook,0.0024883999722078,0.0006824995583689,2,0.0024883999722078,1.0,True,ok
16,16,numba,1.4793415499734692,0.0326484635912249,2,1.4793415499734692,1.0,True,ok
