size,digits,algo,trial,elapsed,muls,adds,error,rc,checksum,sample,stdout,stderr
8,4,strassen,0,10.0,,,"int() argument must be a string, a bytes-like object or a real number, not 'list'",0,,,"{""ok"": false, ""error"": ""int() argument must be a string, a bytes-like object or a real number, not 'list'"", ""elapsed"": 0.0}",
8,4,strassen,1,10.0,,,"int() argument must be a string, a bytes-like object or a real number, not 'list'",0,,,"{""ok"": false, ""error"": ""int() argument must be a string, a bytes-like object or a real number, not 'list'"", ""elapsed"": 0.0}",
8,4,numba,0,10.0,,,Unknown mul_algo: 'numba',0,,,"{""ok"": false, ""error"": ""Unknown mul_algo: 'numba'"", ""elapsed"": 0.0}",
8,4,numba,1,10.0,,,Unknown mul_algo: 'numba',0,,,"{""ok"": false, ""error"": ""Unknown mul_algo: 'numba'"", ""elapsed"": 0.0}",
8,8,auto,0,10.0,,,"int() argument must be a string, a bytes-like object or a real number, not 'list'",0,,,"{""ok"": false, ""error"": ""int() argument must be a string, a bytes-like object or a real number, not 'list'"", ""elapsed"": 0.0}",[decimal_gemm] auto-selected algo='schoolbook' max_digit_len=None cutoff=None
8,8,auto,1,10.0,,,"int() argument must be a string, a bytes-like object or a real number, not 'list'",0,,,"{""ok"": false, ""error"": ""int() argument must be a string, a bytes-like object or a real number, not 'list'"", ""elapsed"": 0.0}",[decimal_gemm] auto-selected algo='schoolbook' max_digit_len=None cutoff=None
8,8,schoolbook,0,10.0,,,"int() argument must be a string, a bytes-like object or a real number, not 'list'",0,,,"{""ok"": false, ""error"": ""int() argument must be a string, a bytes-like object or a real number, not 'list'"", ""elapsed"": 0.0}",
8,8,schoolbook,1,10.0,,,"int() argument must be a string, a bytes-like object or a real number, not 'list'",0,,,"{""ok"": false, ""error"": ""int() argument must be a string, a bytes-like object or a real number, not 'list'"", ""elapsed"": 0.0}",
8,8,karatsuba,0,10.0,,,"int() argument must be a string, a bytes-like object or a real number, not 'list'",0,,,"{""ok"": false, ""error"": ""int() argument must be a string, a bytes-like object or a real number, not 'list'"", ""elapsed"": 0.0}",
8,8,karatsuba,1,10.0,,,"int() argument must be a string, a bytes-like object or a real number, not 'list'",0,,,"{""ok"": false, ""error"": ""int() argument must be a string, a bytes-like object or a real number, not 'list'"", ""elapsed"": 0.0}",
8,8,strassen,0,10.0,,,"int() argument must be a string, a bytes-like object or a real number, not 'list'",0,,,"{""ok"": false, ""error"": ""int() argument must be a string, a bytes-like object or a real number, not 'list'"", ""elapsed"": 0.0}",
8,8,strassen,1,10.0,,,"int() argument must be a string, a bytes-like object or a real number, not 'list'",0,,,"{""ok"": false, ""error"": ""int() argument must be a string, a bytes-like object or a real number, not 'list'"", ""elapsed"": 0.0}",
8,8,numba,0,10.0,,,Unknown mul_algo: 'numba',0,,,"{""ok"": false, ""error"": ""Unknown mul_algo: 'numba'"", ""elapsed"": 0.0}",
8,8,numba,1,10.0,,,Unknown mul_algo: 'numba',0,,,"{""ok"": false, ""error"": ""Unknown mul_algo: 'numba'"", ""elapsed"": 0.0}",
8,16,auto,0,10.0,,,"int() argument must be a string, a bytes-like object or a real number, not 'list'",0,,,"{""ok"": false, ""error"": ""int() argument must be a string, a bytes-like object or a real number, not 'list'"", ""elapsed"": 0.0}",[decimal_gemm] auto-selected algo='schoolbook' max_digit_len=None cutoff=None
