size,digits,algo,trial,elapsed,muls,adds
8,16,auto,0,,,
8,16,auto,1,,,
8,16,schoolbook,0,,,
8,16,schoolbook,1,,,
8,16,karatsuba,0,,,
8,16,karatsuba,1,,,
8,16,strassen,0,,,
8,16,strassen,1,,,
8,16,numba,0,8.709996473044157e-05,,
8,16,numba,1,0.00012069998774677515,,
16,4,auto,0,,,
16,4,auto,1,,,
16,4,schoolbook,0,,,
16,4,schoolbook,1,,,
16,4,karatsuba,0,,,
16,4,karatsuba,1,,,
16,4,strassen,0,,,
16,4,strassen,1,,,
16,4,numba,0,1.5031943999929354,,
16,4,numba,1,1.7191105000674725,,
16,8,auto,0,,,
16,8,auto,1,,,
16,8,schoolbook,0,,,
16,8,schoolbook,1,,,
16,8,karatsuba,0,,,
16,8,karatsuba,1,,,
16,8,strassen,0,,,
16,8,strassen,1,,,
16,8,numba,0,1.5929136000340804,,
16,8,numba,1,1.5277789999963716,,
16,16,auto,0,,,
16,16,auto,1,,,
16,16,schoolbook,0,,,
16,16,schoolbook,1,,,
16,16,karatsuba,0,,,
16,16,karatsuba,1,,,
16,16,strassen,0,,,
16,16,strassen,1,,,
16,16,numba,0,1.456255599972792,,
16,16,numba,1,1.5024274999741465,,
4,4,auto,0,nan,,
4,4,auto,1,nan,,
4,4,schoolbook,0,nan,,
4,4,schoolbook,1,nan,,
4,4,karatsuba,0,nan,,
4,4,karatsuba,1,nan,,
4,4,strassen,0,nan,,
4,4,strassen,1,nan,,
4,8,auto,0,nan,,
4,8,auto,1,nan,,
4,8,schoolbook,0,nan,,
4,8,schoolbook,1,nan,,
4,8,karatsuba,0,nan,,
4,8,karatsuba,1,nan,,
4,8,strassen,0,nan,,
4,8,strassen,1,nan,,
4,16,auto,0,nan,,
4,16,auto,1,nan,,
4,16,schoolbook,0,nan,,
4,16,schoolbook,1,nan,,
4,16,karatsuba,0,nan,,
4,16,karatsuba,1,nan,,
4,16,strassen,0,nan,,
4,16,strassen,1,nan,,
8,4,auto,0,nan,,
8,4,auto,1,nan,,
8,4,schoolbook,0,nan,,
8,4,schoolbook,1,nan,,
8,4,karatsuba,0,nan,,
8,4,karatsuba,1,nan,,
8,4,strassen,0,nan,,
8,4,strassen,1,nan,,
8,8,auto,0,nan,,
8,8,auto,1,nan,,
8,8,schoolbook,0,nan,,
8,8,schoolbook,1,nan,,
8,8,karatsuba,0,nan,,
8,8,karatsuba,1,nan,,
8,8,strassen,0,nan,,
8,8,strassen,1,nan,,
8,16,auto,0,nan,,
8,16,auto,1,nan,,
8,16,schoolbook,0,nan,,
8,16,schoolbook,1,nan,,
8,16,karatsuba,0,nan,,
8,16,karatsuba,1,nan,,
8,16,strassen,0,nan,,
8,16,strassen,1,nan,,
16,4,auto,0,nan,,
16,4,auto,1,nan,,
16,4,schoolbook,0,nan,,
16,4,schoolbook,1,nan,,
16,4,karatsuba,0,nan,,
16,4,karatsuba,1,nan,,
16,4,strassen,0,nan,,
16,4,strassen,1,nan,,
16,8,auto,0,nan,,
16,8,auto,1,nan,,
16,8,schoolbook,0,nan,,
16,8,schoolbook,1,nan,,
16,8,karatsuba,0,nan,,
16,8,karatsuba,1,nan,,
16,8,strassen,0,nan,,
16,8,strassen,1,nan,,
16,16,auto,0,nan,,
16,16,auto,1,nan,,
16,16,schoolbook,0,nan,,
16,16,schoolbook,1,nan,,
