digits,base,ntt_median_s,fft_median_s,karatsuba_median_s,schoolbook_median_s
2000,1000,0.056699000000662636,0.0049254000005021226,0.0173720000020694,0.021513100000447594
8000,1000,0.32657100000142236,0.04471660000126576,,0.41884940000090864
32000,1000,1.834529100000509,0.5234617999994953,,7.3256685999986075
