digits,base,fft_median_s,karatsuba_median_s,schoolbook_median_s,fft_mem_est_bytes
2000,1000,0.004336599999078317,0.017591499999980442,0.020135900000241236,98304
8000,1000,0.040660200000274926,,0.3392449000002671,393216
32000,1000,0.5176926000003732,,5.748142299999017,1572864
