digits,base,fft_median_s,karatsuba_median_s,schoolbook_median_s,fft_mem_est_bytes
2000,1000,0.004122600000300736,0.017095400000016525,0.018572000000403932,98304
8000,1000,0.03921939999963797,,0.3613658999997824,393216
32000,1000,0.519929300000058,,5.4342367999997805,1572864
