digits,base,fft_median_s,karatsuba_median_s,schoolbook_median_s,fft_mem_est_bytes
2000,100,0.0045120999998289335,0.017016399999647547,0.018878400000176043,98304
8000,100,0.03764750000027561,,0.3100456000001941,393216
32000,100,0.509671199999957,,5.962741899999855,1572864
