digits,base,fft_median_s,karatsuba_median_s,schoolbook_median_s,fft_mem_est_bytes
2000,10000,0.004233300000123563,0.016570899999805988,0.018525299999964773,49152
8000,10000,0.0399185999999645,,0.34241489999976693,196608
32000,10000,0.4899998000000778,,5.465804299999945,786432
