digits,python_int_s,bigint_s,gmpy2_s
1000,9.399998816661537e-06,4.899999112240039e-06,1.8000009731622413e-06
5000,0.00013760000001639128,2.5899998945533298e-05,1.5999999959603883e-05
20000,0.0012177000007795868,0.00014349999946716707,0.00010750000001280569
