backend,avg_s,best_s,worst_s,gflops,max_abs_err,max_rel_err,times
numpy,0.015917999999874154,0.014768399999411486,0.01829459999953542,134.90913732987673,0.0,0.0,0.014955799999370356;0.01592490000075486;0.01829459999953542;0.014768399999411486;0.015646300000298652
myext,0.6077315999998973,0.5873815999993894,0.6440577000003032,3.533605374478409,4.547473508864641e-13,1.5869901441412223e-15,0.6440577000003032;0.5982801000000109;0.5873815999993894;0.6137423000000126;0.5951962999997704
