M,N,K,time_s,gflops,max_abs_error
64,64,64,0.0008137000004353467,0.6443259182985066,19.116178132200176
128,128,128,0.001277999999729218,3.281928013214935,38.78132840803411
256,256,256,0.0036306000001786742,9.242117555871943,4982.016990961733
